,subject,VR,PC,twindow
0,1,0.56875,0.7625000000000001,0.2
1,2,0.5104166666666666,0.6625,0.2
2,3,0.41041666666666665,0.65625,0.2
3,4,0.4791666666666667,0.5854166666666667,0.2
4,5,0.5458333333333333,0.625,0.2
0,1,0.7312500000000001,0.8000000000000002,0.3
1,2,0.5833333333333334,0.6812499999999999,0.3
2,3,0.58125,0.7666666666666666,0.3
3,4,0.5041666666666665,0.6020833333333333,0.3
4,5,0.6708333333333333,0.6791666666666666,0.3
0,1,0.7270833333333333,0.8416666666666667,0.4
1,2,0.6083333333333334,0.7458333333333332,0.4
2,3,0.7250000000000001,0.85,0.4
3,4,0.5041666666666667,0.61875,0.4
4,5,0.69375,0.69375,0.4
0,1,0.7854166666666668,0.8270833333333333,0.5
1,2,0.6749999999999999,0.74375,0.5
2,3,0.8500000000000001,0.8374999999999999,0.5
3,4,0.6208333333333333,0.5791666666666666,0.5
4,5,0.6541666666666666,0.7395833333333334,0.5
0,1,0.7645833333333334,0.8666666666666666,0.6
1,2,0.6395833333333333,0.65625,0.6
2,3,0.8312499999999999,0.8500000000000001,0.6
3,4,0.6520833333333332,0.5770833333333333,0.6
4,5,0.6875,0.74375,0.6
0,1,0.7666666666666666,0.81875,0.7
1,2,0.61875,0.7416666666666667,0.7
2,3,0.85,0.8395833333333332,0.7
3,4,0.625,0.5895833333333332,0.7
4,5,0.6666666666666666,0.7770833333333332,0.7
0,1,0.7645833333333334,0.8312499999999999,0.8
1,2,0.6458333333333334,0.6895833333333333,0.8
2,3,0.8645833333333331,0.8124999999999999,0.8
3,4,0.5750000000000001,0.5812499999999999,0.8
4,5,0.6958333333333333,0.7666666666666667,0.8
0,1,0.7687499999999999,0.8583333333333333,0.9
1,2,0.6520833333333333,0.6583333333333333,0.9
2,3,0.8374999999999999,0.8083333333333332,0.9
3,4,0.5812499999999999,0.5833333333333334,0.9
4,5,0.6729166666666666,0.7416666666666667,0.9
0,1,0.6812499999999999,0.7958333333333334,1.0
1,2,0.6020833333333334,0.6270833333333333,1.0
2,3,0.8354166666666666,0.8312499999999999,1.0
3,4,0.5791666666666667,0.5854166666666666,1.0
4,5,0.6729166666666666,0.75,1.0
