,subject,condition,dispersion_target,dispersion_nontarget,distance
0,1,VR,2.60993550828785,3.0496082337193178,0.5806995062562388
1,1,PC,2.2030162820045964,2.5979562194771337,0.9116880523573356
2,2,VR,2.9263815353312372,3.0611534826984927,0.6826155402644566
3,2,PC,2.8857868571771585,2.733085835015879,0.6526840630381576
4,3,VR,2.3732243321552695,2.368344793520513,0.8610748230877736
5,3,PC,2.0923506858099823,2.1708820097780595,0.9200243796589764
6,4,VR,5.133395606166169,3.9865310659634043,0.6138352361789949
7,4,PC,4.306227291727494,3.713081691503706,0.4303950771624623
8,5,VR,2.5436763334787513,2.727255878470581,0.6462441017463284
9,5,PC,2.8231474684741666,2.8555720631823447,0.7621378090350275
10,6,VR,2.2702476169234664,2.1393002869183007,0.5443594086473381
11,6,PC,2.905229465721645,2.5006448966540606,0.8302148483018728
12,7,VR,1.7746162298297146,1.8455145258876662,0.608263843568823
13,7,PC,1.8039463393830057,1.7490855324674555,0.7121428317586523
14,8,VR,2.415042531585738,2.396166516382223,0.5171503969459565
15,8,PC,2.339258832038612,2.670544654549431,0.4439024117036305
16,9,VR,2.820353156137663,2.073297306706843,0.6005182790699802
17,9,PC,2.3490316726601406,2.102070226666357,0.6159726714488059
18,10,VR,2.7760425707550858,2.8173702680516035,0.33575818569452115
19,10,PC,3.6419104628654986,3.5033728704865945,0.6906230635993699
20,11,VR,2.3418435654094387,2.538207529654062,0.6855938618426765
21,11,PC,1.9494298922812918,2.0138328005481148,0.6457149070383547
22,12,VR,3.6203936488467154,3.3628633875768217,0.904344004088595
23,12,PC,2.7579285843234076,2.752350197445103,0.6000454577864124
24,13,VR,3.786561106571294,2.698405470188802,0.7190294971145341
25,13,PC,2.090696176351968,2.200093648720615,0.538947140952225
26,14,VR,2.1262972603044137,2.2759217039670037,0.4608023572897881
27,14,PC,1.9653015392138136,2.0833122384879927,0.5138877884569365
28,15,VR,2.8148654524241365,2.6763539891947774,0.3949213933335789
29,15,PC,2.676008865718004,2.5719900285739064,0.685473002640198
30,16,VR,2.235529689551628,2.3919353596479542,0.6535094531222523
31,16,PC,2.203626915934792,2.288720524564323,0.6012382943940849
32,17,VR,1.6901194405178683,1.7005114155572798,0.4308437372112227
33,17,PC,1.4716612329036587,1.7036205034430933,0.4514589058684425
34,18,VR,2.7589506315152748,2.9945806127413945,0.6197609308806764
35,18,PC,2.487771598340941,2.714493572495208,0.721054942927857
36,19,VR,2.0632133611845536,2.2857533660512064,0.8258399247728305
37,19,PC,2.130084850185793,2.215209818148003,0.941200482201547
38,20,VR,1.7492280347012281,1.894571049320969,0.5730162392022914
39,20,PC,2.290400181596529,2.198519340548644,0.9615010299484459
